band,snr_region,n,median_log_gain_per_db,q25_log_gain_per_db,q75_log_gain_per_db,median_rx_ratio,median_start_snr
10m,Weak (< -22),69,0.08594303643403328,0.019075913232074655,0.15804503755608482,1.75,-23.0
10m,Medium (-22..-15),233,-0.02020820727214495,-0.21165779156060222,0.07192051811294521,0.900990099009901,-18.0
10m,Strong (> -15),86,0.026838989579320665,-0.10801187587174226,0.13958531926588902,1.2,-13.0
20m,Weak (< -22),43,0.032850406697203606,-0.012351328692286974,0.1031031922020631,1.3571428571428572,-23.0
20m,Medium (-22..-15),224,0.011957194633032549,-0.0333665766782783,0.09105694284406661,1.0831043956043955,-18.5
20m,Strong (> -15),70,0.006244167790660652,-0.080155395690605,0.09261231014793078,1.0506756756756757,-12.0
40m,Weak (< -22),78,0.05475077343955785,-0.05511037579948865,0.2038896228332892,1.3884636413340625,-23.0
40m,Medium (-22..-15),80,0.028724089186996656,-0.056080447874655666,0.10041089099186362,1.2315462315462316,-19.0
40m,Strong (> -15),73,0.002801186386063532,-0.060349494049052155,0.09305986511996099,1.0169491525423728,-10.0
