band,day,file,tx_sign,p_lo,p_hi,delta_power,rx_lo,rx_hi,rx_ratio,rx_ratio_clipped,delta_rx_per_db,start_snr,reports_lo,reports_hi,snr_bin
20m,2023-05-17,wspr_2023-05-17_20m.parquet,F4HWD,20,30,10,37,34,0.918918918918919,0.918918918918919,-0.3,-15.0,97,34,-20..-15
20m,2023-05-17,wspr_2023-05-17_20m.parquet,G6MZK,27,37,10,11,65,5.909090909090909,5.909090909090909,5.4,-24.0,20,219,-26..-24
20m,2023-05-17,wspr_2023-05-17_20m.parquet,G6XOU,0,3,3,30,52,1.7333333333333334,1.7333333333333334,7.333333333333333,-14.0,130,437,>-15
20m,2023-05-17,wspr_2023-05-17_20m.parquet,G8AFN,30,33,3,111,38,0.34234234234234234,0.34234234234234234,-24.333333333333332,-17.0,860,117,-20..-15
20m,2023-05-17,wspr_2023-05-17_20m.parquet,IW2EPE,27,30,3,64,37,0.578125,0.578125,-9.0,-14.0,539,114,>-15
20m,2023-05-17,wspr_2023-05-17_20m.parquet,K6EAU,40,43,3,54,117,2.1666666666666665,2.1666666666666665,21.0,-20.0,169,1168,-22..-20
20m,2023-05-17,wspr_2023-05-17_20m.parquet,KE5WNY,40,43,3,42,83,1.9761904761904763,1.9761904761904763,13.666666666666666,-16.0,42,83,-20..-15
20m,2023-05-17,wspr_2023-05-17_20m.parquet,M7DIP,33,40,7,101,230,2.277227722772277,2.277227722772277,18.428571428571427,-17.0,216,1407,-20..-15
20m,2023-05-17,wspr_2023-05-17_20m.parquet,N3YHF,30,37,7,40,38,0.95,0.95,-0.2857142857142857,-13.5,40,38,>-15
20m,2023-05-17,wspr_2023-05-17_20m.parquet,N7GEE,30,33,3,17,44,2.588235294117647,2.588235294117647,9.0,-23.0,85,172,-24..-22
20m,2023-05-17,wspr_2023-05-17_20m.parquet,N7GEE,30,37,7,17,30,1.7647058823529411,1.7647058823529411,1.8571428571428572,-23.0,85,71,-24..-22
20m,2023-05-17,wspr_2023-05-17_20m.parquet,N7GEE,33,37,4,44,30,0.6818181818181818,0.6818181818181818,-3.5,-18.0,172,71,-20..-15
20m,2023-05-17,wspr_2023-05-17_20m.parquet,N8PES,40,43,3,116,136,1.1724137931034482,1.1724137931034482,6.666666666666667,-17.0,157,136,-20..-15
20m,2023-05-17,wspr_2023-05-17_20m.parquet,NU7B,33,40,7,29,27,0.9310344827586207,0.9310344827586207,-0.2857142857142857,-18.0,87,85,-20..-15
20m,2023-05-17,wspr_2023-05-17_20m.parquet,SV1DAR,30,37,7,37,26,0.7027027027027027,0.7027027027027027,-1.5714285714285714,-22.0,223,52,-24..-22
20m,2023-05-17,wspr_2023-05-17_20m.parquet,UA1ZQN,37,40,3,171,209,1.2222222222222223,1.2222222222222223,12.666666666666666,-11.0,1390,890,>-15
20m,2023-05-17,wspr_2023-05-17_20m.parquet,VE3GHM,7,13,6,65,73,1.123076923076923,1.123076923076923,1.3333333333333333,-22.0,765,1080,-24..-22
20m,2023-05-17,wspr_2023-05-17_20m.parquet,VE7KZ,10,17,7,9,66,7.333333333333333,7.333333333333333,8.142857142857142,-21.0,39,1840,-22..-20
20m,2023-05-17,wspr_2023-05-17_20m.parquet,VK5NTF/Z,13,23,10,6,10,1.6666666666666667,1.6666666666666667,0.4,-26.0,13,17,-28..-26
20m,2023-05-17,wspr_2023-05-17_20m.parquet,WD4IYE,30,37,7,15,31,2.066666666666667,2.066666666666667,2.2857142857142856,-16.0,15,31,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,DB1NN,30,33,3,118,62,0.5254237288135594,0.5254237288135594,-18.666666666666668,-13.0,875,62,>-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,DK3BI,23,33,10,69,130,1.8840579710144927,1.8840579710144927,6.1,-14.0,737,1638,>-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,EB4FJN,27,30,3,194,173,0.8917525773195877,0.8917525773195877,-7.0,-13.0,1152,512,>-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,EB4FJN,27,33,6,194,127,0.654639175257732,0.654639175257732,-11.166666666666666,-13.0,1152,186,>-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,EB4FJN,30,33,3,173,127,0.7341040462427746,0.7341040462427746,-15.333333333333334,-12.0,512,186,>-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,F1GTM,10,20,10,25,88,3.52,3.52,6.3,-17.5,64,944,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,F5HGF,30,33,3,23,13,0.5652173913043478,0.5652173913043478,-3.3333333333333335,-16.0,37,13,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,G4GVZ,30,37,7,143,23,0.16083916083916083,0.16083916083916083,-17.142857142857142,-14.5,1494,23,>-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,IW2EPE,27,30,3,88,20,0.22727272727272727,0.22727272727272727,-22.666666666666668,-14.0,541,40,>-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,0,3,3,16,11,0.6875,0.6875,-1.6666666666666667,-18.5,22,11,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,0,10,10,16,18,1.125,1.125,0.2,-18.5,22,27,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,3,10,7,11,18,1.6363636363636365,1.6363636363636365,1.0,-17.0,11,27,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,3,13,10,11,20,1.8181818181818181,1.8181818181818181,0.9,-17.0,11,28,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,10,13,3,18,20,1.1111111111111112,1.1111111111111112,0.6666666666666666,-17.0,27,28,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,10,17,7,18,29,1.6111111111111112,1.6111111111111112,1.5714285714285714,-17.0,27,48,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,10,20,10,18,27,1.5,1.5,0.9,-17.0,27,44,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,13,17,4,20,29,1.45,1.45,2.25,-18.5,28,48,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,13,20,7,20,27,1.35,1.35,1.0,-18.5,28,44,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,13,23,10,20,29,1.45,1.45,0.9,-18.5,28,105,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,17,20,3,29,27,0.9310344827586207,0.9310344827586207,-0.6666666666666666,-19.0,48,44,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,17,23,6,29,29,1.0,1.0,0.0,-19.0,48,105,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,17,27,10,29,30,1.0344827586206897,1.0344827586206897,0.1,-19.0,48,98,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,20,23,3,27,29,1.0740740740740742,1.0740740740740742,0.6666666666666666,-17.0,44,105,-20..-15
20m,2023-05-18,wspr_2023-05-18_20m.parquet,K1FQY/E,20,27,7,27,30,1.1111111111111112,1.1111111111111112,0.42857142857142855,-17.0,44,98,-20..-15
