band,day,file,tx_sign,p_lo,p_hi,delta_power,rx_lo,rx_hi,rx_ratio,rx_ratio_clipped,delta_rx_per_db,start_snr,reports_lo,reports_hi,snr_bin
20m,2023-06-15,wspr_2023-06-15_20m.parquet,ON7AN,27,33,6,134,45,0.3358208955223881,0.3358208955223881,-14.833333333333334,-19.0,1232,79,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,R2BIY,30,37,7,36,107,2.9722222222222223,2.9722222222222223,10.142857142857142,-21.0,43,301,-22..-20
20m,2023-06-15,wspr_2023-06-15_20m.parquet,R2BIY,37,43,6,107,33,0.308411214953271,0.308411214953271,-12.333333333333334,-21.0,301,43,-22..-20
20m,2023-06-15,wspr_2023-06-15_20m.parquet,VE7CCY,33,43,10,73,33,0.4520547945205479,0.4520547945205479,-4.0,-21.0,200,52,-22..-20
20m,2023-06-15,wspr_2023-06-15_20m.parquet,W7WKR,30,33,3,21,16,0.7619047619047619,0.7619047619047619,-1.6666666666666667,-16.0,797,622,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,0,3,3,28,38,1.3571428571428572,1.3571428571428572,3.3333333333333335,-25.0,113,82,-26..-24
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,0,10,10,28,32,1.1428571428571428,1.1428571428571428,0.4,-25.0,113,44,-26..-24
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,3,10,7,38,32,0.8421052631578947,0.8421052631578947,-0.8571428571428571,-18.0,82,44,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,3,13,10,38,32,0.8421052631578947,0.8421052631578947,-0.6,-18.0,82,50,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,10,13,3,32,32,1.0,1.0,0.0,-18.5,44,50,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,10,17,7,32,31,0.96875,0.96875,-0.14285714285714285,-18.5,44,44,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,10,20,10,32,24,0.75,0.75,-0.8,-18.5,44,27,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,13,17,4,32,31,0.96875,0.96875,-0.25,-17.0,50,44,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,13,20,7,32,24,0.75,0.75,-1.1428571428571428,-17.0,50,27,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,13,23,10,32,39,1.21875,1.21875,0.7,-17.0,50,120,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,17,20,3,31,24,0.7741935483870968,0.7741935483870968,-2.3333333333333335,-19.0,44,27,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,17,23,6,31,39,1.2580645161290323,1.2580645161290323,1.3333333333333333,-19.0,44,120,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,17,27,10,31,17,0.5483870967741935,0.5483870967741935,-1.4,-19.0,44,17,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,20,23,3,24,39,1.625,1.625,5.0,-21.0,27,120,-22..-20
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,20,27,7,24,17,0.7083333333333334,0.7083333333333334,-1.0,-21.0,27,17,-22..-20
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,20,30,10,24,31,1.2916666666666667,1.2916666666666667,0.7,-21.0,27,31,-22..-20
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,23,27,4,39,17,0.4358974358974359,0.4358974358974359,-5.5,-21.0,120,17,-22..-20
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,23,30,7,39,31,0.7948717948717948,0.7948717948717948,-1.1428571428571428,-21.0,120,31,-22..-20
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,23,33,10,39,42,1.0769230769230769,1.0769230769230769,0.3,-21.0,120,71,-22..-20
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,27,30,3,17,31,1.8235294117647058,1.8235294117647058,4.666666666666667,-20.0,17,31,-22..-20
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,27,33,6,17,42,2.4705882352941178,2.4705882352941178,4.166666666666667,-20.0,17,71,-22..-20
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,27,37,10,17,42,2.4705882352941178,2.4705882352941178,2.5,-20.0,17,77,-22..-20
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,30,33,3,31,42,1.3548387096774193,1.3548387096774193,3.6666666666666665,-21.0,31,71,-22..-20
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,30,37,7,31,42,1.3548387096774193,1.3548387096774193,1.5714285714285714,-21.0,31,77,-22..-20
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,30,40,10,31,35,1.1290322580645162,1.1290322580645162,0.4,-21.0,31,64,-22..-20
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,33,37,4,42,42,1.0,1.0,0.0,-19.0,71,77,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,33,40,7,42,35,0.8333333333333334,0.8333333333333334,-1.0,-19.0,71,64,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,33,43,10,42,22,0.5238095238095238,0.5238095238095238,-2.0,-19.0,71,30,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,37,40,3,42,35,0.8333333333333334,0.8333333333333334,-2.3333333333333335,-19.0,77,64,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,37,43,6,42,22,0.5238095238095238,0.5238095238095238,-3.3333333333333335,-19.0,77,30,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,37,47,10,42,22,0.5238095238095238,0.5238095238095238,-2.0,-19.0,77,22,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,40,43,3,35,22,0.6285714285714286,0.6285714285714286,-4.333333333333333,-17.0,64,30,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,40,47,7,35,22,0.6285714285714286,0.6285714285714286,-1.8571428571428572,-17.0,64,22,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,43,47,4,22,22,1.0,1.0,0.0,-17.5,30,22,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,43,53,10,22,11,0.5,0.5,-1.1,-17.5,30,11,-20..-15
20m,2023-06-15,wspr_2023-06-15_20m.parquet,YO3HOT/1,47,53,6,22,11,0.5,0.5,-1.8333333333333333,-17.0,22,11,-20..-15
20m,2023-06-19,wspr_2023-06-19_20m.parquet,2E0OUE,40,47,7,29,63,2.1724137931034484,2.1724137931034484,4.857142857142857,-18.0,68,100,-20..-15
20m,2023-06-19,wspr_2023-06-19_20m.parquet,AC6RB/A,0,3,3,6,4,0.6666666666666666,0.6666666666666666,-0.6666666666666666,-24.0,13,10,-26..-24
20m,2023-06-19,wspr_2023-06-19_20m.parquet,DF4IAF,20,27,7,59,59,1.0,1.0,0.0,-14.0,137,146,>-15
20m,2023-06-19,wspr_2023-06-19_20m.parquet,IN3JIF,33,40,7,57,43,0.7543859649122807,0.7543859649122807,-2.0,-20.0,98,43,-22..-20
20m,2023-06-19,wspr_2023-06-19_20m.parquet,K1FQY,0,7,7,14,15,1.0714285714285714,1.0714285714285714,0.14285714285714285,-22.0,28,24,-24..-22
20m,2023-06-19,wspr_2023-06-19_20m.parquet,K1FQY,7,13,6,15,16,1.0666666666666667,1.0666666666666667,0.16666666666666666,-22.0,24,34,-24..-22
20m,2023-06-19,wspr_2023-06-19_20m.parquet,K5XL,33,37,4,407,268,0.6584766584766585,0.6584766584766585,-34.75,-13.0,10987,2921,>-15
20m,2023-06-19,wspr_2023-06-19_20m.parquet,KG7LXJ,37,40,3,123,3,0.024390243902439025,0.024390243902439025,-40.0,-13.0,174,19,>-15
20m,2023-06-19,wspr_2023-06-19_20m.parquet,KO4WYX,37,40,3,64,148,2.3125,2.3125,28.0,-17.5,64,224,-20..-15
20m,2023-06-19,wspr_2023-06-19_20m.parquet,KO4WYX,37,43,6,64,116,1.8125,1.8125,8.666666666666666,-17.5,64,325,-20..-15
20m,2023-06-19,wspr_2023-06-19_20m.parquet,KO4WYX,40,43,3,148,116,0.7837837837837838,0.7837837837837838,-10.666666666666666,-13.0,224,325,>-15
20m,2023-06-19,wspr_2023-06-19_20m.parquet,KO6AEE,30,37,7,70,58,0.8285714285714286,0.8285714285714286,-1.7142857142857142,-17.0,70,100,-20..-15
20m,2023-06-19,wspr_2023-06-19_20m.parquet,M6KNG,33,37,4,71,69,0.971830985915493,0.971830985915493,-0.5,-16.0,71,179,-20..-15
20m,2023-06-19,wspr_2023-06-19_20m.parquet,MR0JBA,10,13,3,9,16,1.7777777777777777,1.7777777777777777,2.3333333333333335,-21.0,88,100,-22..-20
20m,2023-06-19,wspr_2023-06-19_20m.parquet,N0RVS,30,37,7,25,23,0.92,0.92,-0.2857142857142857,-19.0,34,23,-20..-15
20m,2023-06-19,wspr_2023-06-19_20m.parquet,R2BIY,30,37,7,63,91,1.4444444444444444,1.4444444444444444,4.0,-22.0,191,182,-24..-22
20m,2023-06-19,wspr_2023-06-19_20m.parquet,R2BIY,30,40,10,63,90,1.4285714285714286,1.4285714285714286,2.7,-22.0,191,171,-24..-22
20m,2023-06-19,wspr_2023-06-19_20m.parquet,R2BIY,37,40,3,91,90,0.989010989010989,0.989010989010989,-0.3333333333333333,-21.0,182,171,-22..-20
20m,2023-06-19,wspr_2023-06-19_20m.parquet,R2BIY,37,43,6,91,112,1.2307692307692308,1.2307692307692308,3.5,-21.0,182,408,-22..-20
20m,2023-06-19,wspr_2023-06-19_20m.parquet,R2BIY,40,43,3,90,112,1.2444444444444445,1.2444444444444445,7.333333333333333,-19.0,171,408,-20..-15
20m,2023-06-19,wspr_2023-06-19_20m.parquet,WA1DZH,7,13,6,4,9,2.25,2.25,0.8333333333333334,-22.0,17,27,-24..-22
20m,2023-06-19,wspr_2023-06-19_20m.parquet,WA9ZPM,30,33,3,105,108,1.0285714285714285,1.0285714285714285,1.0,-17.0,325,108,-20..-15
20m,2023-06-19,wspr_2023-06-19_20m.parquet,WW4ET,30,37,7,105,173,1.6476190476190475,1.6476190476190475,9.714285714285714,-18.0,183,375,-20..-15
20m,2023-06-20,wspr_2023-06-20_20m.parquet,0W0HWJ,20,30,10,12,14,1.1666666666666667,1.1666666666666667,0.2,-20.0,16,14,-22..-20
20m,2023-06-20,wspr_2023-06-20_20m.parquet,2E0HYX,30,33,3,64,150,2.34375,2.34375,28.666666666666668,-20.0,255,953,-22..-20
20m,2023-06-20,wspr_2023-06-20_20m.parquet,AC6RB/A,0,3,3,4,3,0.75,0.75,-0.3333333333333333,-23.5,10,13,-24..-22
20m,2023-06-20,wspr_2023-06-20_20m.parquet,G8LDJ,30,37,7,136,179,1.3161764705882353,1.3161764705882353,6.142857142857143,-12.0,1244,1863,>-15
20m,2023-06-20,wspr_2023-06-20_20m.parquet,K1FQY,7,13,6,17,25,1.4705882352941178,1.4705882352941178,1.3333333333333333,-21.0,33,64,-22..-20
20m,2023-06-20,wspr_2023-06-20_20m.parquet,K5XL,33,37,4,290,376,1.296551724137931,1.296551724137931,21.5,-14.0,5393,8793,>-15
20m,2023-06-20,wspr_2023-06-20_20m.parquet,KN6KTX,40,50,10,51,54,1.0588235294117647,1.0588235294117647,0.3,-19.0,51,87,-20..-15
20m,2023-06-20,wspr_2023-06-20_20m.parquet,N5AQM,27,37,10,74,94,1.2702702702702702,1.2702702702702702,2.0,-17.0,141,202,-20..-15
20m,2023-06-20,wspr_2023-06-20_20m.parquet,R2BIY,30,37,7,44,74,1.6818181818181819,1.6818181818181819,4.285714285714286,-24.0,64,138,-26..-24
20m,2023-06-20,wspr_2023-06-20_20m.parquet,R2BIY,30,40,10,44,95,2.159090909090909,2.159090909090909,5.1,-24.0,64,198,-26..-24
20m,2023-06-20,wspr_2023-06-20_20m.parquet,R2BIY,37,40,3,74,95,1.2837837837837838,1.2837837837837838,7.0,-19.5,138,198,-20..-15
20m,2023-06-20,wspr_2023-06-20_20m.parquet,R2BIY,37,43,6,74,86,1.162162162162162,1.162162162162162,2.0,-19.5,138,127,-20..-15
20m,2023-06-20,wspr_2023-06-20_20m.parquet,R2BIY,40,43,3,95,86,0.9052631578947369,0.9052631578947369,-3.0,-19.0,198,127,-20..-15
20m,2023-06-20,wspr_2023-06-20_20m.parquet,UA1ZQN,33,37,4,37,152,4.108108108108108,4.108108108108108,28.75,-14.0,110,1352,>-15
20m,2023-06-21,wspr_2023-06-21_20m.parquet,0Q0EHK,17,20,3,21,19,0.9047619047619048,0.9047619047619048,-0.6666666666666666,-21.0,21,19,-22..-20
20m,2023-06-21,wspr_2023-06-21_20m.parquet,0Q0NTX,47,57,10,40,33,0.825,0.825,-0.7,-21.0,98,74,-22..-20
20m,2023-06-21,wspr_2023-06-21_20m.parquet,AF5GM,37,43,6,171,135,0.7894736842105263,0.7894736842105263,-6.0,-13.0,450,344,>-15
20m,2023-06-21,wspr_2023-06-21_20m.parquet,AJ1Z,37,43,6,154,282,1.8311688311688312,1.8311688311688312,21.333333333333332,-17.0,1009,3000,-20..-15
20m,2023-06-21,wspr_2023-06-21_20m.parquet,DB1NN,30,33,3,88,197,2.2386363636363638,2.2386363636363638,36.333333333333336,-17.0,204,1596,-20..-15
20m,2023-06-21,wspr_2023-06-21_20m.parquet,DF4EU,20,23,3,204,198,0.9705882352941176,0.9705882352941176,-2.0,-17.0,4375,2223,-20..-15
20m,2023-06-21,wspr_2023-06-21_20m.parquet,DM8TE,37,43,6,39,92,2.358974358974359,2.358974358974359,8.833333333333334,-8.0,39,152,>-15
20m,2023-06-21,wspr_2023-06-21_20m.parquet,EU2OO,40,43,3,97,89,0.9175257731958762,0.9175257731958762,-2.6666666666666665,-12.0,153,193,>-15
20m,2023-06-21,wspr_2023-06-21_20m.parquet,KD9VLZ,30,37,7,161,171,1.062111801242236,1.062111801242236,1.4285714285714286,-18.0,1088,617,-20..-15
20m,2023-06-21,wspr_2023-06-21_20m.parquet,N5AQM,27,37,10,87,172,1.9770114942528736,1.9770114942528736,8.5,-18.0,132,541,-20..-15
20m,2023-06-21,wspr_2023-06-21_20m.parquet,ON3GMB,20,27,7,64,91,1.421875,1.421875,3.857142857142857,-11.0,192,287,>-15
20m,2023-06-21,wspr_2023-06-21_20m.parquet,R2BIY,30,37,7,38,119,3.1315789473684212,3.1315789473684212,11.571428571428571,-21.0,64,303,-22..-20
20m,2023-06-21,wspr_2023-06-21_20m.parquet,R2BIY,30,40,10,38,115,3.026315789473684,3.026315789473684,7.7,-21.0,64,251,-22..-20
20m,2023-06-21,wspr_2023-06-21_20m.parquet,R2BIY,37,40,3,119,115,0.9663865546218487,0.9663865546218487,-1.3333333333333333,-20.0,303,251,-22..-20
20m,2023-06-21,wspr_2023-06-21_20m.parquet,R2BIY,37,43,6,119,106,0.8907563025210085,0.8907563025210085,-2.1666666666666665,-20.0,303,172,-22..-20
20m,2023-06-21,wspr_2023-06-21_20m.parquet,R2BIY,40,43,3,115,106,0.9217391304347826,0.9217391304347826,-3.0,-18.0,251,172,-20..-15
20m,2023-06-21,wspr_2023-06-21_20m.parquet,W5CPU,37,47,10,56,105,1.875,1.875,4.9,-8.0,89,105,>-15
20m,2023-06-22,wspr_2023-06-22_20m.parquet,AJ1Z,40,43,3,142,21,0.14788732394366197,0.14788732394366197,-40.333333333333336,-17.0,716,23,-20..-15
20m,2023-06-22,wspr_2023-06-22_20m.parquet,DK8JP,23,30,7,50,81,1.62,1.62,4.428571428571429,-17.0,141,344,-20..-15
20m,2023-06-22,wspr_2023-06-22_20m.parquet,G1VWC,27,30,3,23,93,4.043478260869565,4.043478260869565,23.333333333333332,-17.0,83,428,-20..-15
20m,2023-06-22,wspr_2023-06-22_20m.parquet,G8LDJ,30,37,7,205,259,1.2634146341463415,1.2634146341463415,7.714285714285714,-12.0,3557,5621,>-15
20m,2023-06-22,wspr_2023-06-22_20m.parquet,KC6WPK,37,43,6,46,76,1.6521739130434783,1.6521739130434783,5.0,-11.0,78,76,>-15
20m,2023-06-22,wspr_2023-06-22_20m.parquet,KI4NVX,33,37,4,41,23,0.5609756097560976,0.5609756097560976,-4.5,-19.0,41,23,-20..-15
20m,2023-06-22,wspr_2023-06-22_20m.parquet,R2BIY,30,37,7,71,127,1.7887323943661972,1.7887323943661972,8.0,-21.0,232,463,-22..-20
20m,2023-06-22,wspr_2023-06-22_20m.parquet,R2BIY,30,40,10,71,124,1.7464788732394365,1.7464788732394365,5.3,-21.0,232,253,-22..-20
20m,2023-06-22,wspr_2023-06-22_20m.parquet,R2BIY,37,40,3,127,124,0.9763779527559056,0.9763779527559056,-1.0,-19.0,463,253,-20..-15
20m,2023-06-22,wspr_2023-06-22_20m.parquet,UA1ZQN,30,37,7,208,48,0.23076923076923078,0.23076923076923078,-22.857142857142858,-19.0,4439,48,-20..-15
20m,2023-06-22,wspr_2023-06-22_20m.parquet,VE0FQ,30,37,7,182,120,0.6593406593406593,0.6593406593406593,-8.857142857142858,-8.0,182,120,>-15
20m,2023-06-23,wspr_2023-06-23_20m.parquet,2E0HYX,23,30,7,37,75,2.027027027027027,2.027027027027027,5.428571428571429,-19.0,200,99,-20..-15
20m,2023-06-23,wspr_2023-06-23_20m.parquet,2E0HYX,23,33,10,37,113,3.054054054054054,3.054054054054054,7.6,-19.0,200,290,-20..-15
20m,2023-06-23,wspr_2023-06-23_20m.parquet,2E0HYX,30,33,3,75,113,1.5066666666666666,1.5066666666666666,12.666666666666666,-13.0,99,290,>-15
20m,2023-06-23,wspr_2023-06-23_20m.parquet,AE0NB,37,43,6,70,55,0.7857142857142857,0.7857142857142857,-2.5,-12.0,115,55,>-15
20m,2023-06-23,wspr_2023-06-23_20m.parquet,AJ1Z,33,43,10,13,170,13.076923076923077,13.076923076923077,15.7,-12.0,13,212,>-15
20m,2023-06-23,wspr_2023-06-23_20m.parquet,DG8GAD,27,30,3,44,183,4.159090909090909,4.159090909090909,46.333333333333336,-20.0,66,2017,-22..-20
20m,2023-06-23,wspr_2023-06-23_20m.parquet,DK3BI,23,33,10,30,147,4.9,4.9,11.7,-17.0,120,1895,-20..-15
20m,2023-06-23,wspr_2023-06-23_20m.parquet,G6LRE,37,40,3,40,153,3.825,3.825,37.666666666666664,-10.0,40,1588,>-15
20m,2023-06-23,wspr_2023-06-23_20m.parquet,G8LDJ,30,37,7,228,305,1.337719298245614,1.337719298245614,11.0,-12.0,3515,7011,>-15
20m,2023-06-23,wspr_2023-06-23_20m.parquet,IU4QSM,37,40,3,91,56,0.6153846153846154,0.6153846153846154,-11.666666666666666,-12.0,175,56,>-15
20m,2023-06-23,wspr_2023-06-23_20m.parquet,K3JYD,23,30,7,98,76,0.7755102040816326,0.7755102040816326,-3.142857142857143,-16.0,1727,343,-20..-15
20m,2023-06-23,wspr_2023-06-23_20m.parquet,K3JYD,30,37,7,76,57,0.75,0.75,-2.7142857142857144,-11.0,343,89,>-15
20m,2023-06-23,wspr_2023-06-23_20m.parquet,K6WLD,40,50,10,149,146,0.9798657718120806,0.9798657718120806,-0.3,-14.0,904,256,>-15
20m,2023-06-23,wspr_2023-06-23_20m.parquet,KD0QHZ,37,40,3,159,136,0.8553459119496856,0.8553459119496856,-7.666666666666667,-11.0,769,318,>-15
20m,2023-06-23,wspr_2023-06-23_20m.parquet,MM7BWK,27,37,10,250,117,0.468,0.468,-13.3,-17.0,6161,946,-20..-15
20m,2023-06-23,wspr_2023-06-23_20m.parquet,N8MIQ,30,37,7,119,160,1.3445378151260505,1.3445378151260505,5.857142857142857,-18.0,582,661,-20..-15
20m,2023-06-23,wspr_2023-06-23_20m.parquet,R2BIY,30,37,7,80,122,1.525,1.525,6.0,-21.0,248,451,-22..-20
20m,2023-06-23,wspr_2023-06-23_20m.parquet,R2BIY,30,40,10,80,57,0.7125,0.7125,-2.3,-21.0,248,116,-22..-20
20m,2023-06-23,wspr_2023-06-23_20m.parquet,R2BIY,37,40,3,122,57,0.4672131147540984,0.4672131147540984,-21.666666666666668,-19.0,451,116,-20..-15
20m,2023-06-23,wspr_2023-06-23_20m.parquet,R2BIY,37,43,6,122,123,1.0081967213114753,1.0081967213114753,0.16666666666666666,-19.0,451,343,-20..-15
20m,2023-06-23,wspr_2023-06-23_20m.parquet,R2BIY,40,43,3,57,123,2.1578947368421053,2.1578947368421053,22.0,-22.0,116,343,-24..-22
20m,2023-06-23,wspr_2023-06-23_20m.parquet,VA2ONE,43,47,4,164,52,0.3170731707317073,0.3170731707317073,-28.0,-12.0,225,52,>-15
20m,2023-06-24,wspr_2023-06-24_20m.parquet,AJ1Z,40,43,3,218,112,0.5137614678899083,0.5137614678899083,-35.333333333333336,-11.0,388,174,>-15
20m,2023-06-24,wspr_2023-06-24_20m.parquet,EC2AQW,23,27,4,43,35,0.813953488372093,0.813953488372093,-2.0,-18.0,43,35,-20..-15
20m,2023-06-24,wspr_2023-06-24_20m.parquet,G4MUV,33,37,4,43,35,0.813953488372093,0.813953488372093,-2.0,-14.0,108,95,>-15
20m,2023-06-24,wspr_2023-06-24_20m.parquet,GW5PH,27,37,10,83,104,1.2530120481927711,1.2530120481927711,2.1,-12.0,83,176,>-15
20m,2023-06-24,wspr_2023-06-24_20m.parquet,K5WH/B,0,3,3,23,16,0.6956521739130435,0.6956521739130435,-2.3333333333333335,-22.0,94,34,-24..-22
20m,2023-06-24,wspr_2023-06-24_20m.parquet,K5WH/B,0,7,7,23,16,0.6956521739130435,0.6956521739130435,-1.0,-22.0,94,25,-24..-22
20m,2023-06-24,wspr_2023-06-24_20m.parquet,K5WH/B,3,7,4,16,16,1.0,1.0,0.0,-22.0,34,25,-24..-22
20m,2023-06-24,wspr_2023-06-24_20m.parquet,K5WH/B,23,30,7,9,10,1.1111111111111112,1.1111111111111112,0.14285714285714285,-20.0,23,12,-22..-20
20m,2023-06-24,wspr_2023-06-24_20m.parquet,K5WH/B,23,33,10,9,18,2.0,2.0,0.9,-20.0,23,23,-22..-20
20m,2023-06-24,wspr_2023-06-24_20m.parquet,K5WH/B,30,33,3,10,18,1.8,1.8,2.6666666666666665,-21.5,12,23,-22..-20
20m,2023-06-24,wspr_2023-06-24_20m.parquet,K5WH/B,30,40,10,10,13,1.3,1.3,0.3,-21.5,12,13,-22..-20
20m,2023-06-24,wspr_2023-06-24_20m.parquet,K5WH/B,33,40,7,18,13,0.7222222222222222,0.7222222222222222,-0.7142857142857143,-24.0,23,13,-26..-24
20m,2023-06-24,wspr_2023-06-24_20m.parquet,K5WH/B,33,43,10,18,26,1.4444444444444444,1.4444444444444444,0.8,-24.0,23,74,-26..-24
20m,2023-06-24,wspr_2023-06-24_20m.parquet,K5WH/B,40,43,3,13,26,2.0,2.0,4.333333333333333,-24.0,13,74,-26..-24
20m,2023-06-24,wspr_2023-06-24_20m.parquet,K5WH/B,40,47,7,13,27,2.076923076923077,2.076923076923077,2.0,-24.0,13,76,-26..-24
20m,2023-06-24,wspr_2023-06-24_20m.parquet,K5WH/B,40,50,10,13,38,2.923076923076923,2.923076923076923,2.5,-24.0,13,237,-26..-24
20m,2023-06-24,wspr_2023-06-24_20m.parquet,K5WH/B,43,47,4,26,27,1.0384615384615385,1.0384615384615385,0.25,-22.5,74,76,-24..-22
20m,2023-06-24,wspr_2023-06-24_20m.parquet,K5WH/B,43,50,7,26,38,1.4615384615384615,1.4615384615384615,1.7142857142857142,-22.5,74,237,-24..-22
20m,2023-06-24,wspr_2023-06-24_20m.parquet,K5WH/B,47,50,3,27,38,1.4074074074074074,1.4074074074074074,3.6666666666666665,-23.0,76,237,-24..-22
20m,2023-06-24,wspr_2023-06-24_20m.parquet,R2BIY,30,37,7,63,88,1.3968253968253967,1.3968253968253967,3.5714285714285716,-20.0,143,157,-22..-20
20m,2023-06-24,wspr_2023-06-24_20m.parquet,R2BIY,30,40,10,63,69,1.0952380952380953,1.0952380952380953,0.6,-20.0,143,69,-22..-20
20m,2023-06-24,wspr_2023-06-24_20m.parquet,R2BIY,37,40,3,88,69,0.7840909090909091,0.7840909090909091,-6.333333333333333,-19.0,157,69,-20..-15
20m,2023-06-24,wspr_2023-06-24_20m.parquet,SQ2HDO,37,43,6,30,78,2.6,2.6,8.0,-9.5,30,119,>-15
20m,2023-06-25,wspr_2023-06-25_20m.parquet,0P8THS,20,23,3,13,11,0.8461538461538461,0.8461538461538461,-0.6666666666666666,-25.0,13,11,-26..-24
20m,2023-06-25,wspr_2023-06-25_20m.parquet,AC6RB/A,0,3,3,5,5,1.0,1.0,0.0,-24.0,23,15,-26..-24
20m,2023-06-25,wspr_2023-06-25_20m.parquet,DB1MIC,30,33,3,90,76,0.8444444444444444,0.8444444444444444,-4.666666666666667,-15.0,201,249,-20..-15
20m,2023-06-25,wspr_2023-06-25_20m.parquet,DD5WA,30,37,7,39,33,0.8461538461538461,0.8461538461538461,-0.8571428571428571,-19.0,113,99,-20..-15
20m,2023-06-25,wspr_2023-06-25_20m.parquet,GW5PH,27,30,3,56,111,1.9821428571428572,1.9821428571428572,18.333333333333332,-8.5,56,192,>-15
20m,2023-06-25,wspr_2023-06-25_20m.parquet,IU4QSM,37,47,10,67,74,1.1044776119402986,1.1044776119402986,0.7,-13.0,103,74,>-15
20m,2023-06-25,wspr_2023-06-25_20m.parquet,K4IZZ,37,40,3,157,74,0.4713375796178344,0.4713375796178344,-27.666666666666668,-16.0,461,74,-20..-15
20m,2023-06-25,wspr_2023-06-25_20m.parquet,K4IZZ,37,43,6,157,144,0.9171974522292994,0.9171974522292994,-2.1666666666666665,-16.0,461,144,-20..-15
20m,2023-06-25,wspr_2023-06-25_20m.parquet,K4IZZ,40,43,3,74,144,1.945945945945946,1.945945945945946,23.333333333333332,-7.0,74,144,>-15
20m,2023-06-25,wspr_2023-06-25_20m.parquet,K5WH/B,20,23,3,15,11,0.7333333333333333,0.7333333333333333,-1.3333333333333333,-16.0,69,21,-20..-15
20m,2023-06-25,wspr_2023-06-25_20m.parquet,KC1FOL,33,37,4,70,120,1.7142857142857142,1.7142857142857142,12.5,-15.0,102,525,-20..-15
20m,2023-06-25,wspr_2023-06-25_20m.parquet,KI7OSK,37,40,3,50,101,2.02,2.02,17.0,-16.0,50,160,-20..-15
20m,2023-06-25,wspr_2023-06-25_20m.parquet,KK7KSC,30,33,3,92,113,1.2282608695652173,1.2282608695652173,7.0,-19.0,585,683,-20..-15
20m,2023-06-25,wspr_2023-06-25_20m.parquet,N5TTT,30,37,7,26,23,0.8846153846153846,0.8846153846153846,-0.42857142857142855,-18.5,88,34,-20..-15
20m,2023-06-25,wspr_2023-06-25_20m.parquet,R2BIY,30,37,7,45,108,2.4,2.4,9.0,-23.0,67,242,-24..-22
20m,2023-06-25,wspr_2023-06-25_20m.parquet,R2BIY,30,40,10,45,74,1.6444444444444444,1.6444444444444444,2.9,-23.0,67,94,-24..-22
20m,2023-06-25,wspr_2023-06-25_20m.parquet,R2BIY,37,40,3,108,74,0.6851851851851852,0.6851851851851852,-11.333333333333334,-20.0,242,94,-22..-20
20m,2023-06-25,wspr_2023-06-25_20m.parquet,R6LNL,30,37,7,38,37,0.9736842105263158,0.9736842105263158,-0.14285714285714285,-16.5,38,37,-20..-15
