band,day,file,tx_sign,p_lo,p_hi,delta_power,rx_lo,rx_hi,rx_ratio,rx_ratio_clipped,log_rx_gain_per_db,delta_rx_per_db,start_snr,reports_lo,reports_hi
10m,2023-04-22,wspr_2023-04-22_10m.parquet,WD4AH,30,33,3,22,49,2.227272727272727,2.227272727272727,0.2669259482507702,9.0,-18.0,50,246
10m,2023-04-23,wspr_2023-04-23_10m.parquet,F6KPL,13,20,7,2,4,2.0,2.0,0.09902102579427789,0.2857142857142857,-25.5,12,11
10m,2023-05-15,wspr_2023-05-15_10m.parquet,031JYJ,13,20,7,10,13,1.3,1.3,0.03748060920964158,0.42857142857142855,-13.5,10,13
10m,2023-05-15,wspr_2023-05-15_10m.parquet,0S1JGU,13,23,10,10,12,1.2,1.2,0.01823215567939546,0.2,-14.0,10,12
10m,2023-05-15,wspr_2023-05-15_10m.parquet,WB5SRK,33,37,4,4,7,1.75,1.75,0.13990394698385566,0.75,-14.0,52,12
10m,2023-05-15,wspr_2023-05-15_10m.parquet,WB5SRK,33,43,10,4,16,4.0,4.0,0.13862943611198905,1.2,-14.0,52,66
10m,2023-05-15,wspr_2023-05-15_10m.parquet,WB5SRK,37,43,6,7,16,2.2857142857142856,2.2857142857142856,0.1377797621974113,1.5,-17.5,12,66
10m,2023-05-16,wspr_2023-05-16_10m.parquet,DL3IAD,37,47,10,7,11,1.5714285714285714,1.5714285714285714,0.04519851237430572,0.4,-20.0,18,18
10m,2023-05-16,wspr_2023-05-16_10m.parquet,N5AQM,23,27,4,24,6,0.25,0.25,-0.34657359027997264,-4.5,-19.0,115,16
10m,2023-05-16,wspr_2023-05-16_10m.parquet,SA6BSS,50,53,3,22,40,1.8181818181818181,1.8181818181818181,0.19927900025187348,6.0,-14.0,22,188
10m,2023-05-16,wspr_2023-05-16_10m.parquet,WB5SRK,33,43,10,4,9,2.25,2.25,0.08109302162163287,0.5,-21.0,14,30
10m,2023-05-17,wspr_2023-05-17_10m.parquet,N7GEE,30,33,3,15,24,1.6,1.6,0.1566678764152452,3.0,-24.0,61,58
10m,2023-05-17,wspr_2023-05-17_10m.parquet,N7GEE,30,37,7,15,9,0.6,0.6,-0.07297508910942725,-0.8571428571428571,-24.0,61,11
10m,2023-05-17,wspr_2023-05-17_10m.parquet,N7GEE,33,37,4,24,9,0.375,0.375,-0.24520731325293155,-3.75,-15.5,58,11
10m,2023-05-17,wspr_2023-05-17_10m.parquet,SA6BSS,50,53,3,13,29,2.230769230769231,2.230769230769231,0.2674488241749791,5.333333333333333,-19.0,84,547
10m,2023-05-18,wspr_2023-05-18_10m.parquet,DL3IAD,37,43,6,11,25,2.272727272727273,2.272727272727273,0.1368300920116384,2.3333333333333335,-19.0,36,41
10m,2023-05-18,wspr_2023-05-18_10m.parquet,PD7LJ,30,37,7,19,15,0.7894736842105263,0.7894736842105263,-0.033769825437747196,-0.5714285714285714,-19.0,101,26
10m,2023-05-18,wspr_2023-05-18_10m.parquet,SM2IAR,27,37,10,9,65,7.222222222222222,7.222222222222222,0.19771626925594177,5.6,-12.0,74,430
