band,file,tx_sign,p_lo,p_hi,delta_power,rx_lo,rx_hi,rx_ratio,delta_rx_per_db,start_snr,reports_lo,reports_hi,snr_bin
20m,wspr_2023-06-15_20m.parquet,YO3HOT/1,43,47,4,22,22,1.0,0.0,-17.5,30,22,-20..-15
20m,wspr_2023-06-15_20m.parquet,YO3HOT/1,47,50,3,22,3,0.13636363636363635,-6.333333333333333,-17.0,22,3,-20..-15
20m,wspr_2023-06-15_20m.parquet,YO3HOT/1,50,53,3,3,11,3.6666666666666665,2.6666666666666665,-6.0,3,11,>-15
20m,wspr_2023-06-19_20m.parquet,2E0OUE,40,47,7,29,63,2.1724137931034484,4.857142857142857,-18.0,68,100,-20..-15
20m,wspr_2023-06-19_20m.parquet,AC6RB/A,0,3,3,6,4,0.6666666666666666,-0.6666666666666666,-24.0,13,10,-26..-24
20m,wspr_2023-06-19_20m.parquet,DF4IAF,20,27,7,59,59,1.0,0.0,-14.0,137,146,>-15
20m,wspr_2023-06-19_20m.parquet,EA6ALL,20,23,3,1,203,203.0,67.33333333333333,-6.0,1,3655,>-15
20m,wspr_2023-06-19_20m.parquet,EA6GJ,20,23,3,299,2,0.006688963210702341,-99.0,-15.0,6234,2,-20..-15
20m,wspr_2023-06-19_20m.parquet,IN3JIF,33,40,7,57,43,0.7543859649122807,-2.0,-20.0,98,43,-22..-20
20m,wspr_2023-06-19_20m.parquet,K1FQY,0,7,7,14,15,1.0714285714285714,0.14285714285714285,-22.0,28,24,-24..-22
20m,wspr_2023-06-19_20m.parquet,K1FQY,7,13,6,15,16,1.0666666666666667,0.16666666666666666,-22.0,24,34,-24..-22
20m,wspr_2023-06-19_20m.parquet,K5XL,33,37,4,407,268,0.6584766584766585,-34.75,-13.0,10987,2921,>-15
20m,wspr_2023-06-19_20m.parquet,KG7LXJ,37,40,3,123,3,0.024390243902439025,-40.0,-13.0,174,19,>-15
20m,wspr_2023-06-19_20m.parquet,KO4WYX,37,40,3,64,148,2.3125,28.0,-17.5,64,224,-20..-15
20m,wspr_2023-06-19_20m.parquet,KO4WYX,40,43,3,148,116,0.7837837837837838,-10.666666666666666,-13.0,224,325,>-15
20m,wspr_2023-06-19_20m.parquet,KO6AEE,30,37,7,70,58,0.8285714285714286,-1.7142857142857142,-17.0,70,100,-20..-15
20m,wspr_2023-06-19_20m.parquet,M0BSI,33,37,4,328,1,0.003048780487804878,-81.75,-17.0,6264,1,-20..-15
20m,wspr_2023-06-19_20m.parquet,M6KNG,33,37,4,71,69,0.971830985915493,-0.5,-16.0,71,179,-20..-15
20m,wspr_2023-06-19_20m.parquet,MR0JBA,10,13,3,9,16,1.7777777777777777,2.3333333333333335,-21.0,88,100,-22..-20
20m,wspr_2023-06-19_20m.parquet,N0RVS,30,37,7,25,23,0.92,-0.2857142857142857,-19.0,34,23,-20..-15
20m,wspr_2023-06-19_20m.parquet,N8NJ,30,33,3,1,378,378.0,125.66666666666667,-7.0,1,7451,>-15
20m,wspr_2023-06-19_20m.parquet,R2BIY,30,37,7,63,91,1.4444444444444444,4.0,-22.0,191,182,-24..-22
20m,wspr_2023-06-19_20m.parquet,R2BIY,37,40,3,91,90,0.989010989010989,-0.3333333333333333,-21.0,182,171,-22..-20
20m,wspr_2023-06-19_20m.parquet,R2BIY,40,43,3,90,112,1.2444444444444445,7.333333333333333,-19.0,171,408,-20..-15
20m,wspr_2023-06-19_20m.parquet,WA1DZH,0,7,7,1,4,4.0,0.42857142857142855,-25.0,1,17,-26..-24
20m,wspr_2023-06-19_20m.parquet,WA1DZH,7,13,6,4,9,2.25,0.8333333333333334,-22.0,17,27,-24..-22
20m,wspr_2023-06-19_20m.parquet,WA9ZPM,30,33,3,105,108,1.0285714285714285,1.0,-17.0,325,108,-20..-15
20m,wspr_2023-06-19_20m.parquet,WW4ET,30,37,7,105,173,1.6476190476190475,9.714285714285714,-18.0,183,375,-20..-15
20m,wspr_2023-06-20_20m.parquet,040VTP,3,7,4,13,8,0.6153846153846154,-1.25,-22.0,13,8,-24..-22
20m,wspr_2023-06-20_20m.parquet,0W0HWJ,20,30,10,12,14,1.1666666666666667,0.2,-20.0,16,14,-22..-20
20m,wspr_2023-06-20_20m.parquet,2E0HYX,30,33,3,64,150,2.34375,28.666666666666668,-20.0,255,953,-22..-20
20m,wspr_2023-06-20_20m.parquet,AC6RB/A,0,3,3,4,3,0.75,-0.3333333333333333,-23.5,10,13,-24..-22
20m,wspr_2023-06-20_20m.parquet,DL1FX,20,23,3,184,1,0.005434782608695652,-61.0,-14.0,2523,1,>-15
20m,wspr_2023-06-20_20m.parquet,G8KHW,17,20,3,16,2,0.125,-4.666666666666667,-22.0,42,2,-24..-22
20m,wspr_2023-06-20_20m.parquet,G8LDJ,30,37,7,136,179,1.3161764705882353,6.142857142857143,-12.0,1244,1863,>-15
20m,wspr_2023-06-20_20m.parquet,GM1BAN,23,27,4,130,1,0.007692307692307693,-32.25,-19.0,978,1,-20..-15
20m,wspr_2023-06-20_20m.parquet,GM3RQQ,30,37,7,1,9,9.0,1.1428571428571428,-17.0,1,14,-20..-15
20m,wspr_2023-06-20_20m.parquet,K1FQY,0,7,7,7,17,2.4285714285714284,1.4285714285714286,-23.0,7,33,-24..-22
20m,wspr_2023-06-20_20m.parquet,K1FQY,7,13,6,17,25,1.4705882352941178,1.3333333333333333,-21.0,33,64,-22..-20
20m,wspr_2023-06-20_20m.parquet,K5XL,33,37,4,290,376,1.296551724137931,21.5,-14.0,5393,8793,>-15
20m,wspr_2023-06-20_20m.parquet,KD0QHZ,37,40,3,46,6,0.13043478260869565,-13.333333333333334,-9.0,73,6,>-15
20m,wspr_2023-06-20_20m.parquet,KN6KTX,40,50,10,51,54,1.0588235294117647,0.3,-19.0,51,87,-20..-15
20m,wspr_2023-06-20_20m.parquet,N5AQM,27,37,10,74,94,1.2702702702702702,2.0,-17.0,141,202,-20..-15
20m,wspr_2023-06-20_20m.parquet,N6YWU,20,30,10,2,21,10.5,1.9,-23.5,4,34,-24..-22
20m,wspr_2023-06-20_20m.parquet,OH8HTG,30,33,3,9,5,0.5555555555555556,-1.3333333333333333,-15.5,10,5,-20..-15
20m,wspr_2023-06-20_20m.parquet,ON4WS,27,30,3,230,1,0.004347826086956522,-76.33333333333333,-14.0,3764,2,>-15
20m,wspr_2023-06-20_20m.parquet,R2BIY,30,37,7,44,74,1.6818181818181819,4.285714285714286,-24.0,64,138,-26..-24
20m,wspr_2023-06-20_20m.parquet,R2BIY,37,40,3,74,95,1.2837837837837838,7.0,-19.5,138,198,-20..-15
20m,wspr_2023-06-20_20m.parquet,R2BIY,40,43,3,95,86,0.9052631578947369,-3.0,-19.0,198,127,-20..-15
20m,wspr_2023-06-20_20m.parquet,S51RS,10,20,10,61,1,0.01639344262295082,-6.0,-19.0,276,1,-20..-15
20m,wspr_2023-06-20_20m.parquet,UA1ZQN,33,37,4,37,152,4.108108108108108,28.75,-14.0,110,1352,>-15
20m,wspr_2023-06-20_20m.parquet,VE2DPF,33,37,4,1,350,350.0,87.25,-29.0,1,8754,-30..-28
20m,wspr_2023-06-20_20m.parquet,WR4I,17,23,6,1,180,180.0,29.833333333333332,-23.0,1,3932,-24..-22
20m,wspr_2023-06-21_20m.parquet,0Q0EHK,17,20,3,21,19,0.9047619047619048,-0.6666666666666666,-21.0,21,19,-22..-20
20m,wspr_2023-06-21_20m.parquet,0Q0NTX,47,57,10,40,33,0.825,-0.7,-21.0,98,74,-22..-20
20m,wspr_2023-06-21_20m.parquet,AC0G,23,27,4,141,1,0.0070921985815602835,-35.0,-21.0,1370,1,-22..-20
20m,wspr_2023-06-21_20m.parquet,AC6RB/A,0,3,3,7,2,0.2857142857142857,-1.6666666666666667,-25.5,24,6,-26..-24
20m,wspr_2023-06-21_20m.parquet,AF5GM,37,43,6,171,135,0.7894736842105263,-6.0,-13.0,450,344,>-15
20m,wspr_2023-06-21_20m.parquet,AJ1Z,37,43,6,154,282,1.8311688311688312,21.333333333333332,-17.0,1009,3000,-20..-15
20m,wspr_2023-06-21_20m.parquet,DB1NN,30,33,3,88,197,2.2386363636363638,36.333333333333336,-17.0,204,1596,-20..-15
20m,wspr_2023-06-21_20m.parquet,DF4EU,20,23,3,204,198,0.9705882352941176,-2.0,-17.0,4375,2223,-20..-15
20m,wspr_2023-06-21_20m.parquet,DM8TE,37,43,6,39,92,2.358974358974359,8.833333333333334,-8.0,39,152,>-15
20m,wspr_2023-06-21_20m.parquet,EU2OO,40,43,3,97,89,0.9175257731958762,-2.6666666666666665,-12.0,153,193,>-15
20m,wspr_2023-06-21_20m.parquet,KC2TER,33,37,4,325,1,0.003076923076923077,-81.0,-19.0,4496,1,-20..-15
20m,wspr_2023-06-21_20m.parquet,KC5FOG,23,27,4,197,1,0.005076142131979695,-49.0,-18.0,12025,1,-20..-15
20m,wspr_2023-06-21_20m.parquet,KC9LGS/7,0,7,7,1,1,1.0,0.0,-1.0,1,1,>-15
20m,wspr_2023-06-21_20m.parquet,KC9LGS/7,7,13,6,1,1,1.0,0.0,-27.0,1,1,-28..-26
20m,wspr_2023-06-21_20m.parquet,KD9VLZ,30,37,7,161,171,1.062111801242236,1.4285714285714286,-18.0,1088,617,-20..-15
20m,wspr_2023-06-21_20m.parquet,N5AQM,27,37,10,87,172,1.9770114942528736,8.5,-18.0,132,541,-20..-15
20m,wspr_2023-06-21_20m.parquet,N6YWU,20,30,10,2,23,11.5,2.1,-12.5,2,33,>-15
20m,wspr_2023-06-21_20m.parquet,NI5F,30,37,7,1,368,368.0,52.42857142857143,-23.0,1,11196,-24..-22
20m,wspr_2023-06-21_20m.parquet,ON3GMB,20,27,7,64,91,1.421875,3.857142857142857,-11.0,192,287,>-15
20m,wspr_2023-06-21_20m.parquet,ON4WS,20,27,7,1,260,260.0,37.0,-22.0,1,4951,-24..-22
20m,wspr_2023-06-21_20m.parquet,R2BIY,30,37,7,38,119,3.1315789473684212,11.571428571428571,-21.0,64,303,-22..-20
20m,wspr_2023-06-21_20m.parquet,R2BIY,37,40,3,119,115,0.9663865546218487,-1.3333333333333333,-20.0,303,251,-22..-20
20m,wspr_2023-06-21_20m.parquet,R2BIY,40,43,3,115,106,0.9217391304347826,-3.0,-18.0,251,172,-20..-15
20m,wspr_2023-06-21_20m.parquet,W5CPU,37,47,10,56,105,1.875,4.9,-8.0,89,105,>-15
20m,wspr_2023-06-21_20m.parquet,WA9WTK,37,40,3,1,343,343.0,114.0,-12.5,2,1446,>-15
20m,wspr_2023-06-22_20m.parquet,AJ1Z,33,40,7,1,142,142.0,20.142857142857142,-18.0,1,716,-20..-15
20m,wspr_2023-06-22_20m.parquet,AJ1Z,40,43,3,142,21,0.14788732394366197,-40.333333333333336,-17.0,716,23,-20..-15
20m,wspr_2023-06-22_20m.parquet,DK8JP,23,30,7,50,81,1.62,4.428571428571429,-17.0,141,344,-20..-15
20m,wspr_2023-06-22_20m.parquet,G1VWC,27,30,3,23,93,4.043478260869565,23.333333333333332,-17.0,83,428,-20..-15
20m,wspr_2023-06-22_20m.parquet,G8LDJ,30,37,7,205,259,1.2634146341463415,7.714285714285714,-12.0,3557,5621,>-15
20m,wspr_2023-06-22_20m.parquet,IU2PJI,13,23,10,1,242,242.0,24.1,-27.0,1,2094,-28..-26
20m,wspr_2023-06-22_20m.parquet,KC6WPK,37,43,6,46,76,1.6521739130434783,5.0,-11.0,78,76,>-15
20m,wspr_2023-06-22_20m.parquet,KE5ES,27,37,10,35,8,0.22857142857142856,-2.7,-19.0,35,8,-20..-15
20m,wspr_2023-06-22_20m.parquet,KG4ODC,23,27,4,153,1,0.006535947712418301,-38.0,-18.0,3291,1,-20..-15
20m,wspr_2023-06-22_20m.parquet,KI4NVX,33,37,4,41,23,0.5609756097560976,-4.5,-19.0,41,23,-20..-15
20m,wspr_2023-06-22_20m.parquet,N4JJS,17,23,6,1,295,295.0,49.0,-22.0,1,3210,-24..-22
20m,wspr_2023-06-22_20m.parquet,NI5F,30,37,7,1,383,383.0,54.57142857142857,-15.0,2,12590,-20..-15
20m,wspr_2023-06-22_20m.parquet,R2BIY,30,37,7,71,127,1.7887323943661972,8.0,-21.0,232,463,-22..-20
20m,wspr_2023-06-22_20m.parquet,R2BIY,37,40,3,127,124,0.9763779527559056,-1.0,-19.0,463,253,-20..-15
20m,wspr_2023-06-22_20m.parquet,UA1ZQN,30,37,7,208,48,0.23076923076923078,-22.857142857142858,-19.0,4439,48,-20..-15
20m,wspr_2023-06-22_20m.parquet,VE0FQ,30,37,7,182,120,0.6593406593406593,-8.857142857142858,-8.0,182,120,>-15
20m,wspr_2023-06-22_20m.parquet,VE6UL,30,33,3,3,1,0.3333333333333333,-0.6666666666666666,-18.0,5,1,-20..-15
20m,wspr_2023-06-23_20m.parquet,2E0HYX,23,30,7,37,75,2.027027027027027,5.428571428571429,-19.0,200,99,-20..-15
20m,wspr_2023-06-23_20m.parquet,2E0HYX,30,33,3,75,113,1.5066666666666666,12.666666666666666,-13.0,99,290,>-15
20m,wspr_2023-06-23_20m.parquet,AC6RB/A,0,3,3,2,1,0.5,-0.3333333333333333,-26.0,2,1,-28..-26
20m,wspr_2023-06-23_20m.parquet,AE0NB,37,43,6,70,55,0.7857142857142857,-2.5,-12.0,115,55,>-15
20m,wspr_2023-06-23_20m.parquet,AG7UT,30,37,7,1,128,128.0,18.142857142857142,-25.0,1,213,-26..-24
20m,wspr_2023-06-23_20m.parquet,AJ1Z,33,43,10,13,170,13.076923076923077,15.7,-12.0,13,212,>-15
20m,wspr_2023-06-23_20m.parquet,DG8GAD,27,30,3,44,183,4.159090909090909,46.333333333333336,-20.0,66,2017,-22..-20
20m,wspr_2023-06-23_20m.parquet,DK3BI,23,33,10,30,147,4.9,11.7,-17.0,120,1895,-20..-15
20m,wspr_2023-06-23_20m.parquet,DL6NL,30,33,3,1,257,257.0,85.33333333333333,-17.0,1,4833,-20..-15
20m,wspr_2023-06-23_20m.parquet,G6LRE,37,40,3,40,153,3.825,37.666666666666664,-10.0,40,1588,>-15
20m,wspr_2023-06-23_20m.parquet,G8LDJ,30,37,7,228,305,1.337719298245614,11.0,-12.0,3515,7011,>-15
20m,wspr_2023-06-23_20m.parquet,IU4QSM,37,40,3,91,56,0.6153846153846154,-11.666666666666666,-12.0,175,56,>-15
20m,wspr_2023-06-23_20m.parquet,K3JYD,23,30,7,98,76,0.7755102040816326,-3.142857142857143,-16.0,1727,343,-20..-15
20m,wspr_2023-06-23_20m.parquet,K3JYD,30,37,7,76,57,0.75,-2.7142857142857144,-11.0,343,89,>-15
20m,wspr_2023-06-23_20m.parquet,K6WLD,40,50,10,149,146,0.9798657718120806,-0.3,-14.0,904,256,>-15
20m,wspr_2023-06-23_20m.parquet,KD0QHZ,37,40,3,159,136,0.8553459119496856,-7.666666666666667,-11.0,769,318,>-15
20m,wspr_2023-06-23_20m.parquet,KD6RC,23,27,4,129,1,0.007751937984496124,-32.0,-21.0,1446,1,-22..-20
20m,wspr_2023-06-23_20m.parquet,KG4ODC,23,27,4,175,1,0.005714285714285714,-43.5,-18.0,3530,1,-20..-15
20m,wspr_2023-06-23_20m.parquet,MM7BWK,27,37,10,250,117,0.468,-13.3,-17.0,6161,946,-20..-15
20m,wspr_2023-06-23_20m.parquet,N8MIQ,30,37,7,119,160,1.3445378151260505,5.857142857142857,-18.0,582,661,-20..-15
20m,wspr_2023-06-23_20m.parquet,N9NIC,20,23,3,1,212,212.0,70.33333333333333,-22.0,1,2606,-24..-22
20m,wspr_2023-06-23_20m.parquet,NI5F,30,37,7,1,393,393.0,56.0,-28.0,1,14601,-30..-28
20m,wspr_2023-06-23_20m.parquet,R2BIY,30,37,7,80,122,1.525,6.0,-21.0,248,451,-22..-20
20m,wspr_2023-06-23_20m.parquet,R2BIY,37,40,3,122,57,0.4672131147540984,-21.666666666666668,-19.0,451,116,-20..-15
20m,wspr_2023-06-23_20m.parquet,R2BIY,40,43,3,57,123,2.1578947368421053,22.0,-22.0,116,343,-24..-22
20m,wspr_2023-06-23_20m.parquet,VA2ONE,43,47,4,164,52,0.3170731707317073,-28.0,-12.0,225,52,>-15
20m,wspr_2023-06-23_20m.parquet,WB5SRK,23,30,7,64,1,0.015625,-9.0,-21.0,271,1,-22..-20
20m,wspr_2023-06-24_20m.parquet,AC6RB/A,0,3,3,1,1,1.0,0.0,-28.0,3,6,-30..-28
20m,wspr_2023-06-24_20m.parquet,AJ1Z,40,43,3,218,112,0.5137614678899083,-35.333333333333336,-11.0,388,174,>-15
20m,wspr_2023-06-24_20m.parquet,DG8GAD,27,30,3,9,145,16.11111111111111,45.333333333333336,-21.0,9,1728,-22..-20
20m,wspr_2023-06-24_20m.parquet,EA6ALL,20,23,3,1,239,239.0,79.33333333333333,-11.0,1,5956,>-15
20m,wspr_2023-06-24_20m.parquet,EC2AQW,23,27,4,43,35,0.813953488372093,-2.0,-18.0,43,35,-20..-15
20m,wspr_2023-06-24_20m.parquet,G4MUV,33,37,4,43,35,0.813953488372093,-2.0,-14.0,108,95,>-15
20m,wspr_2023-06-24_20m.parquet,GW5PH,27,37,10,83,104,1.2530120481927711,2.1,-12.0,83,176,>-15
20m,wspr_2023-06-24_20m.parquet,K5WH/B,0,3,3,23,16,0.6956521739130435,-2.3333333333333335,-22.0,94,34,-24..-22
20m,wspr_2023-06-24_20m.parquet,K5WH/B,3,7,4,16,16,1.0,0.0,-22.0,34,25,-24..-22
20m,wspr_2023-06-24_20m.parquet,K5WH/B,7,10,3,16,8,0.5,-2.6666666666666665,-22.0,25,9,-24..-22
20m,wspr_2023-06-24_20m.parquet,K5WH/B,10,13,3,8,9,1.125,0.3333333333333333,-22.0,9,9,-24..-22
20m,wspr_2023-06-24_20m.parquet,K5WH/B,13,17,4,9,2,0.2222222222222222,-1.75,-20.0,9,2,-22..-20
20m,wspr_2023-06-24_20m.parquet,K5WH/B,17,20,3,2,2,1.0,0.0,-8.0,2,2,>-15
20m,wspr_2023-06-24_20m.parquet,K5WH/B,20,23,3,2,9,4.5,2.3333333333333335,-13.0,2,23,>-15
20m,wspr_2023-06-24_20m.parquet,K5WH/B,23,27,4,9,5,0.5555555555555556,-1.0,-20.0,23,7,-22..-20
20m,wspr_2023-06-24_20m.parquet,K5WH/B,27,30,3,5,10,2.0,1.6666666666666667,-23.0,7,12,-24..-22
20m,wspr_2023-06-24_20m.parquet,K5WH/B,30,33,3,10,18,1.8,2.6666666666666665,-21.5,12,23,-22..-20
20m,wspr_2023-06-24_20m.parquet,K5WH/B,33,37,4,18,4,0.2222222222222222,-3.5,-24.0,23,4,-26..-24
20m,wspr_2023-06-24_20m.parquet,K5WH/B,37,40,3,4,13,3.25,3.0,-15.5,4,13,-20..-15
20m,wspr_2023-06-24_20m.parquet,K5WH/B,40,43,3,13,26,2.0,4.333333333333333,-24.0,13,74,-26..-24
20m,wspr_2023-06-24_20m.parquet,K5WH/B,43,47,4,26,27,1.0384615384615385,0.25,-22.5,74,76,-24..-22
20m,wspr_2023-06-24_20m.parquet,K5WH/B,47,50,3,27,38,1.4074074074074074,3.6666666666666665,-23.0,76,237,-24..-22
20m,wspr_2023-06-24_20m.parquet,KC2TER,30,33,3,1,284,284.0,94.33333333333333,-4.0,1,4398,>-15
20m,wspr_2023-06-24_20m.parquet,KD2SVB,23,30,7,64,6,0.09375,-8.285714285714286,-23.0,261,6,-24..-22
20m,wspr_2023-06-24_20m.parquet,KZ4U,23,33,10,254,1,0.003937007874015748,-25.3,-18.0,5573,1,-20..-15
20m,wspr_2023-06-24_20m.parquet,OH4MSJ,23,27,4,1,14,14.0,3.25,-25.5,2,61,-26..-24
20m,wspr_2023-06-24_20m.parquet,R2BIY,30,37,7,63,88,1.3968253968253967,3.5714285714285716,-20.0,143,157,-22..-20
20m,wspr_2023-06-24_20m.parquet,R2BIY,37,40,3,88,69,0.7840909090909091,-6.333333333333333,-19.0,157,69,-20..-15
20m,wspr_2023-06-24_20m.parquet,SQ2HDO,37,43,6,30,78,2.6,8.0,-9.5,30,119,>-15
20m,wspr_2023-06-24_20m.parquet,VA3UAL,7,10,3,1,95,95.0,31.333333333333332,-24.0,1,1280,-26..-24
20m,wspr_2023-06-24_20m.parquet,WA3DNM,33,37,4,1,357,357.0,89.0,-27.0,1,4881,-28..-26
20m,wspr_2023-06-25_20m.parquet,0P8THS,20,23,3,13,11,0.8461538461538461,-0.6666666666666666,-25.0,13,11,-26..-24
20m,wspr_2023-06-25_20m.parquet,AA1AH,20,23,3,1,235,235.0,78.0,-30.0,1,2763,≤-30
20m,wspr_2023-06-25_20m.parquet,AC6RB/A,0,3,3,5,5,1.0,0.0,-24.0,23,15,-26..-24
20m,wspr_2023-06-25_20m.parquet,DB1MIC,30,33,3,90,76,0.8444444444444444,-4.666666666666667,-15.0,201,249,-20..-15
20m,wspr_2023-06-25_20m.parquet,DD5MA,13,20,7,2,13,6.5,1.5714285714285714,-15.0,2,21,-20..-15
20m,wspr_2023-06-25_20m.parquet,DD5WA,30,37,7,39,33,0.8461538461538461,-0.8571428571428571,-19.0,113,99,-20..-15
20m,wspr_2023-06-25_20m.parquet,EA6ALL,20,23,3,1,231,231.0,76.66666666666667,-13.0,1,3995,>-15
20m,wspr_2023-06-25_20m.parquet,EA6GJ,20,23,3,315,1,0.0031746031746031746,-104.66666666666667,-15.0,6669,1,-20..-15
20m,wspr_2023-06-25_20m.parquet,G4MUV,27,33,6,7,63,9.0,9.333333333333334,-16.0,8,266,-20..-15
20m,wspr_2023-06-25_20m.parquet,GW5PH,27,30,3,56,111,1.9821428571428572,18.333333333333332,-8.5,56,192,>-15
20m,wspr_2023-06-25_20m.parquet,IU4QSM,37,47,10,67,74,1.1044776119402986,0.7,-13.0,103,74,>-15
20m,wspr_2023-06-25_20m.parquet,K4IZZ,37,40,3,157,74,0.4713375796178344,-27.666666666666668,-16.0,461,74,-20..-15
20m,wspr_2023-06-25_20m.parquet,K4IZZ,40,43,3,74,144,1.945945945945946,23.333333333333332,-7.0,74,144,>-15
20m,wspr_2023-06-25_20m.parquet,K5WH/B,20,23,3,15,11,0.7333333333333333,-1.3333333333333333,-16.0,69,21,-20..-15
20m,wspr_2023-06-25_20m.parquet,KC1FOL,33,37,4,70,120,1.7142857142857142,12.5,-15.0,102,525,-20..-15
20m,wspr_2023-06-25_20m.parquet,KI7OSK,37,40,3,50,101,2.02,17.0,-16.0,50,160,-20..-15
20m,wspr_2023-06-25_20m.parquet,KK7KSC,30,33,3,92,113,1.2282608695652173,7.0,-19.0,585,683,-20..-15
20m,wspr_2023-06-25_20m.parquet,KW6CW,43,47,4,80,1,0.0125,-19.75,-19.0,185,1,-20..-15
20m,wspr_2023-06-25_20m.parquet,M6KNG,30,33,3,46,3,0.06521739130434782,-14.333333333333334,-19.0,75,3,-20..-15
20m,wspr_2023-06-25_20m.parquet,N5TTT,30,37,7,26,23,0.8846153846153846,-0.42857142857142855,-18.5,88,34,-20..-15
20m,wspr_2023-06-25_20m.parquet,QO3YPB,30,40,10,5,1,0.2,-0.4,-20.0,5,1,-22..-20
20m,wspr_2023-06-25_20m.parquet,R2BIY,30,37,7,45,108,2.4,9.0,-23.0,67,242,-24..-22
20m,wspr_2023-06-25_20m.parquet,R2BIY,37,40,3,108,74,0.6851851851851852,-11.333333333333334,-20.0,242,94,-22..-20
20m,wspr_2023-06-25_20m.parquet,R6LNL,30,37,7,38,37,0.9736842105263158,-0.14285714285714285,-16.5,38,37,-20..-15
20m,wspr_2023-06-25_20m.parquet,TA1YEP,0,3,3,35,57,1.6285714285714286,7.333333333333333,-17.0,35,107,-20..-15
20m,wspr_2023-06-25_20m.parquet,TA1YEP,17,20,3,59,87,1.4745762711864407,9.333333333333334,-19.0,133,317,-20..-15
20m,wspr_2023-06-25_20m.parquet,WW4ET,27,30,3,85,73,0.8588235294117647,-4.0,-19.0,168,125,-20..-15
40m,wspr_2023-05-15_40m.parquet,DG7MA,0,3,3,170,170,1.0,0.0,-10.0,1046,754,>-15
40m,wspr_2023-05-15_40m.parquet,DL1FX,20,23,3,1,260,260.0,86.33333333333333,-19.0,1,9927,-20..-15
40m,wspr_2023-05-15_40m.parquet,DL1TFI,23,30,7,1,101,101.0,14.285714285714286,-11.0,1,316,>-15
40m,wspr_2023-05-15_40m.parquet,DL3EL,20,30,10,176,135,0.7670454545454546,-4.1,-10.0,617,426,>-15
40m,wspr_2023-05-15_40m.parquet,DL3YAV,30,37,7,191,140,0.7329842931937173,-7.285714285714286,-9.0,2375,325,>-15
40m,wspr_2023-05-15_40m.parquet,EI8EUB,27,33,6,136,139,1.0220588235294117,0.5,-1.0,233,178,>-15
40m,wspr_2023-05-15_40m.parquet,EW1LN,30,40,10,137,1,0.0072992700729927005,-13.6,-18.0,1632,1,-20..-15
40m,wspr_2023-05-15_40m.parquet,F6KPL,20,30,10,93,267,2.870967741935484,17.4,-21.0,566,5698,-22..-20
40m,wspr_2023-05-15_40m.parquet,KC1PHY,40,43,3,180,244,1.3555555555555556,21.333333333333332,-6.0,180,425,>-15
40m,wspr_2023-05-15_40m.parquet,M0PPP,33,37,4,150,111,0.74,-9.75,-9.0,402,111,>-15
40m,wspr_2023-05-15_40m.parquet,M0PPP,37,40,3,111,114,1.027027027027027,1.0,-8.0,111,114,>-15
40m,wspr_2023-05-15_40m.parquet,MM7BWK,33,37,4,177,249,1.4067796610169492,18.0,-12.0,2416,7846,>-15
40m,wspr_2023-05-15_40m.parquet,N3AGE,23,30,7,21,33,1.5714285714285714,1.7142857142857142,-14.0,4903,137,>-15
40m,wspr_2023-05-15_40m.parquet,PA2HGJ,3,10,7,78,102,1.3076923076923077,3.4285714285714284,-24.0,1156,1834,-26..-24
40m,wspr_2023-05-15_40m.parquet,PA3BUL,33,37,4,33,130,3.9393939393939394,24.25,-27.0,102,707,-28..-26
40m,wspr_2023-05-15_40m.parquet,PA3GWH,30,33,3,157,131,0.8343949044585988,-8.666666666666666,-7.0,971,242,>-15
40m,wspr_2023-05-15_40m.parquet,WR1M,33,37,4,15,118,7.866666666666666,25.75,-13.0,15,141,>-15
40m,wspr_2023-05-16_40m.parquet,DC1UI,37,40,3,109,27,0.24770642201834864,-27.333333333333332,-12.5,202,44,>-15
40m,wspr_2023-05-16_40m.parquet,DF7PE,23,27,4,112,1,0.008928571428571428,-27.75,-20.0,1673,1,-22..-20
40m,wspr_2023-05-16_40m.parquet,DG8GAD,7,10,3,1,3,3.0,0.6666666666666666,-25.0,1,4,-26..-24
40m,wspr_2023-05-16_40m.parquet,DG8GAD,10,13,3,3,6,2.0,1.0,-23.5,4,19,-24..-22
40m,wspr_2023-05-16_40m.parquet,DG8GAD,13,17,4,6,6,1.0,0.0,-25.0,19,16,-26..-24
40m,wspr_2023-05-16_40m.parquet,DG8GAD,17,20,3,6,1,0.16666666666666666,-1.6666666666666667,-25.0,16,1,-26..-24
40m,wspr_2023-05-16_40m.parquet,DG8GAD,20,23,3,1,3,3.0,0.6666666666666666,-26.0,1,3,-28..-26
40m,wspr_2023-05-16_40m.parquet,DG8GAD,23,27,4,3,47,15.666666666666666,11.0,-27.0,3,446,-28..-26
40m,wspr_2023-05-16_40m.parquet,DL3EL,20,30,10,153,86,0.5620915032679739,-6.7,-12.0,899,131,>-15
40m,wspr_2023-05-16_40m.parquet,F6KPL,20,30,10,76,269,3.539473684210526,19.3,-20.0,526,6214,-22..-20
40m,wspr_2023-05-16_40m.parquet,IW1QLH,17,27,10,123,7,0.056910569105691054,-11.6,-21.0,2435,18,-22..-20
40m,wspr_2023-05-16_40m.parquet,IZ2QKG,27,33,6,69,87,1.2608695652173914,3.0,-16.0,69,87,-20..-15
40m,wspr_2023-05-16_40m.parquet,IZ2QKG,33,37,4,87,115,1.3218390804597702,7.0,-9.0,87,115,>-15
