band,file,tx_sign,p_lo,p_hi,delta_power,rx_lo,rx_hi,rx_ratio,delta_rx_per_db,start_snr,reports_lo,reports_hi,snr_bin
20m,wspr_2023-05-17_20m.parquet,UA1ZQN,37,40,3,171,209,1.2222222222222223,12.666666666666666,-11.0,1390,890,>-15
20m,wspr_2023-05-17_20m.parquet,VE3GHM,7,13,6,65,73,1.123076923076923,1.3333333333333333,-22.0,765,1080,-24..-22
20m,wspr_2023-05-17_20m.parquet,VE7KZ,10,17,7,9,66,7.333333333333333,8.142857142857142,-21.0,39,1840,-22..-20
20m,wspr_2023-05-17_20m.parquet,VK5NTF/Z,10,13,3,2,6,3.0,1.3333333333333333,-29.0,2,13,-30..-28
20m,wspr_2023-05-17_20m.parquet,VK5NTF/Z,13,23,10,6,10,1.6666666666666667,0.4,-26.0,13,17,-28..-26
20m,wspr_2023-05-17_20m.parquet,WD4IYE,30,37,7,15,31,2.066666666666667,2.2857142857142856,-16.0,15,31,-20..-15
20m,wspr_2023-05-18_20m.parquet,AJ8S,33,37,4,1,354,354.0,88.25,-23.5,8,3196,-24..-22
20m,wspr_2023-05-18_20m.parquet,DB1NN,30,33,3,118,62,0.5254237288135594,-18.666666666666668,-13.0,875,62,>-15
20m,wspr_2023-05-18_20m.parquet,DK3BI,23,33,10,69,130,1.8840579710144927,6.1,-14.0,737,1638,>-15
20m,wspr_2023-05-18_20m.parquet,DL8MFW,37,40,3,4,33,8.25,9.666666666666666,-7.0,4,49,>-15
20m,wspr_2023-05-18_20m.parquet,EB4FJN,27,30,3,194,173,0.8917525773195877,-7.0,-13.0,1152,512,>-15
20m,wspr_2023-05-18_20m.parquet,EB4FJN,30,33,3,173,127,0.7341040462427746,-15.333333333333334,-12.0,512,186,>-15
20m,wspr_2023-05-18_20m.parquet,F1GTM,10,20,10,25,88,3.52,6.3,-17.5,64,944,-20..-15
20m,wspr_2023-05-18_20m.parquet,F5HGF,30,33,3,23,13,0.5652173913043478,-3.3333333333333335,-16.0,37,13,-20..-15
20m,wspr_2023-05-18_20m.parquet,G4GVZ,30,37,7,143,23,0.16083916083916083,-17.142857142857142,-14.5,1494,23,>-15
20m,wspr_2023-05-18_20m.parquet,G8LDJ,27,30,3,141,1,0.0070921985815602835,-46.666666666666664,-14.0,1881,1,>-15
20m,wspr_2023-05-18_20m.parquet,IW2EPE,27,30,3,88,20,0.22727272727272727,-22.666666666666668,-14.0,541,40,>-15
20m,wspr_2023-05-18_20m.parquet,K0BUB,23,33,10,203,1,0.0049261083743842365,-20.2,-17.0,2690,1,-20..-15
20m,wspr_2023-05-18_20m.parquet,K1FQY/E,0,3,3,16,11,0.6875,-1.6666666666666667,-18.5,22,11,-20..-15
20m,wspr_2023-05-18_20m.parquet,K1FQY/E,3,10,7,11,18,1.6363636363636365,1.0,-17.0,11,27,-20..-15
20m,wspr_2023-05-18_20m.parquet,K1FQY/E,10,13,3,18,20,1.1111111111111112,0.6666666666666666,-17.0,27,28,-20..-15
20m,wspr_2023-05-18_20m.parquet,K1FQY/E,13,17,4,20,29,1.45,2.25,-18.5,28,48,-20..-15
20m,wspr_2023-05-18_20m.parquet,K1FQY/E,17,20,3,29,27,0.9310344827586207,-0.6666666666666666,-19.0,48,44,-20..-15
20m,wspr_2023-05-18_20m.parquet,K1FQY/E,20,23,3,27,29,1.0740740740740742,0.6666666666666666,-17.0,44,105,-20..-15
20m,wspr_2023-05-18_20m.parquet,K1FQY/E,23,27,4,29,30,1.0344827586206897,0.25,-19.0,105,98,-20..-15
20m,wspr_2023-05-18_20m.parquet,K1FQY/E,27,30,3,30,33,1.1,1.0,-20.0,98,180,-22..-20
