band,snr_region,n,median_log_gain_per_db,ci_low,ci_high
10m,Weak (< -22),69,0.08594303643403328,0.05792358687259491,0.10055218656020977
10m,Medium (-22..-15),233,-0.02020820727214495,-0.03956954047643328,0.011498811914491903
10m,Strong (> -15),86,0.026838989579320665,-0.025837980305172543,0.07438118377140325
20m,Weak (< -22),43,0.032850406697203606,0.009856124498135917,0.05421280310070053
20m,Medium (-22..-15),224,0.011957194633032549,0.0,0.023935728290197026
20m,Strong (> -15),70,0.006244167790660652,-0.03836326240599881,0.04049265739780236
40m,Weak (< -22),78,0.05475077343955785,0.006452418696781738,0.12777494042547863
40m,Medium (-22..-15),80,0.028724089186996656,-0.003498717144042251,0.06771468392135041
40m,Strong (> -15),73,0.002801186386063532,-0.010515973906177993,0.026340128914456588
